ORDER_ID,PRODUCT_ID,USER_ID,PRODUCT_DESCRIPTION,ORDER_DATE,SHIPPING_DATE,DELIVERY_DATE,AMOUNT,STATUS,DELIVERY_PARTNER_NO
1,19135002.0,34,"Red and blue printed unstitched dress material Red and blue printed kurta fabric Red and blue embellished bottom fabric Red and blue printed dupatta, has printed border Disclaimer: Images are for referral purposes only. The actual product is unstitched Dry Clean Only Kurta Fabric Length:-1.80 Meter Bottom Fabric Length:-1.30 Meter Dupatta Fabric Length:-2.20 Meter",2025-10-06,2025-10-07,2025-10-10,904.0,packed,1763817426
2,15274868.0,23,"Purple regular wrap top Solid V-neck,  short,  regular sleeves Handloom cotton Tie-ups closure The model (height 5'8) is wearing a size S100% Cotton Hand wash",2025-09-26,2025-09-29,2025-10-03,4816.0,packed,6678430602
3,15183010.0,37,Women Solid Full Sleeves Denim JacketCotton Machine Wash,2025-10-09,2025-10-10,2025-10-17,1245.0,delivered,6789382057
4,13750906.0,51,"Shiffli Detailed Flared Mini Skirt With Elasticated Waist.Pair This Skirt With  Fitted Top, Shell Earrings From Kazo And Strappy Footwear For A Beach Ready Look. COTTON SHIFFLI",2025-10-16,2025-10-19,2025-10-21,1188.0,shipped,2727142969
5,16583238.0,52,"Beige solid pullover ,has a turtle neck,  long sleeves,  ribbed hemThe model (height 5'8) is wearing a size S100% Acrylic Machine wash",2025-09-25,2025-09-28,2025-09-30,4957.0,shipped,4864099984
6,12178108.0,9,"Blue washed jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hemThe model (height 5'8"") is wearing a size S100% cotton Machine Wash",2025-09-25,2025-09-26,2025-09-28,4816.0,shipped,5644175940
7,18840966.0,5,"Beige regular cinched waist top Solid Round neck,  long,  bell sleeve sleeves Gathered or pleated detail Woven 100% Polyester Machine WashThe model (height 5'8) is wearing a size S",2025-09-29,2025-10-02,2025-10-07,3354.0,out for delivery,5104491002
8,12221892.0,20,"Green coloured wash 4-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and paperbag waistband with belt loopsRegular Fit Stretchable The model (height 5'8"") is wearing a size 2896% cotton, 4% spandex Machine-wash",2025-10-01,2025-10-04,2025-10-08,4941.0,delivered,3367334568
9,19069120.0,15,"Gold-toned and white floral embroidered dupatta,  solid border POLYESTER",2025-09-27,2025-09-30,2025-10-03,2688.0,packed,3220255862
10,17084446.0,58,"White & Red Printed Dupatta, has solid border Length:2.40 Mtr ; Width :1.08 Mtr Material : Tusser Silk , Type :Printed , Care: Dry clean Only",2025-10-01,2025-10-02,2025-10-09,1734.0,out for delivery,8024805120
11,18859090.0,73,"Purple and brown dyed unstitched dress material Purple and brown dyed kurta fabric Purple and brown dyed bottom fabric Purple and brown dyed dupatta, has printed border Disclaimer: Images are for referral purposes only. The actual product is unstitched First Wash should preferably be dry clean Top fabric length: Bottom fabric length: Dupatta length: 2 metres (approx)",2025-09-26,2025-09-27,2025-10-01,3432.0,delivered,3610203285
12,14094022.0,25,"Beige and golden printed open front jacket, is collarless, and has a curved hem, with attached lining Engineered with moisture absorbent featureThe model (height 5'8"") is wearing a size S60% Viscose and 40% Polyester Hand wash",2025-09-21,2025-09-23,2025-09-28,4022.0,shipped,6539664919
13,11283270.0,43,"This co-ords consists of top and skirt Off-White and red printed top, has a V-neck, sleeveless Off-White and red printed skirt, has a slip-on closureThe model (height 5'8"") is wearing a size S55% Viscose / 35% Cotton / 10% Flex",2025-09-25,2025-09-26,2025-09-29,2985.0,shipped,5333510682
14,18499480.0,49,"Green and red embellished unstitched dress material Green and red embellished kurta fabric Green and red solid bottom fabric Green and red dupatta, has taping border Disclaimer: Images are for referral purposes only. The actual product is unstitchedTop fabric length: Bottom fabric length: Dupatta length: 2 metres (approx) Dry Clean",2025-10-02,2025-10-05,2025-10-08,1200.0,ordered,1913561031
15,18757316.0,28,"Pink and gold-toned embroidered lehenga choli with dupatta, Pink and gold-toned embroidered ready to wear blouse,  has a round neck,  sleeveless,  pink and gold-toned embroidered ready to wear lehenga, flared hem Pink and gold-toned embellished dupatta,  taping border, Cold water wash only",2025-10-12,2025-10-13,2025-10-15,3458.0,out for delivery,2647038690
16,17608074.0,70,"Green double breasted blazer, has notched lapel collar, long sleeve, 2 pocketsThe model (height 5'8) is wearing a size SComposition: 76% polyester,18% viscose,6% elastane Lining: 55% polyester,45% viscose Sleeve lining: 55% polyester,45% viscose Dry Clean",2025-09-23,2025-09-26,2025-09-30,4408.0,out for delivery,1964921337
17,17960186.0,53,"White and blue printed flared maxi skirt, has an elasticated waistband with slip-on closure, flared hem Rayon crepe Machine-wash The model (height 5'8'') is wearing size 28",2025-09-25,2025-09-28,2025-10-04,4070.0,delivered,6368348321
18,10611412.0,49,"Rust brown solid sweatshirt, has a round neck, long sleeves, straight hemThe model (height 5'8"") is wearing a size SCotton blend Hand-wash",2025-09-28,2025-10-01,2025-10-05,2046.0,out for delivery,9622386426
19,15176096.0,45,"Black woven trousers Regular fit Mid-rise Length:  cropped Pattern: solid Flat-front, with no pleats design Feature:  plain 2 pockets Fit: Regular Fit The model (height 5'8) is wearing a size 28100% Cotton Machine wash",2025-10-16,2025-10-19,2025-10-23,3645.0,packed,4551448838
20,7606774.0,47,"Black printed woven A-line top, has a tie-up neck, three-quarter sleeves,Pure Cotton Machine-washRegular Fit The model (height 5'8"") is wearing a size S",2025-10-15,2025-10-18,2025-10-21,1906.0,ordered,9118307735
21,14499100.0,47,"Yellow and pink woven design lehenga choli with dupatta, Yellow woven design ready to wear blouse, has a round neck, sleeveless, button closure Pink printed ready to wear lehenga, has drawstring closure, flared hem Yellow solid dupatta, solid border70% Cotton, 30% Polyester Blouse fabric: Cotton blend Lehenga fabric: Cotton blend Dupatta fabric: Cotton blend",2025-10-16,2025-10-19,2025-10-24,4289.0,out for delivery,7545037623
22,17495594.0,31,"Peach-coloured woven design unstitched dress material Peach-coloured woven design kurta fabric Peach-coloured solid bottom fabric Peach-coloured woven design dupatta, has tassels border Disclaimer: Images are for referral purposes only. The actual product is unstitchedTop fabric length: Calf Length Bottom fabric length: Ankle Length Dupatta length: 2 metres (approx) Dry Clean Only",2025-09-25,2025-09-26,2025-09-28,2221.0,delivered,9359396087
23,18213208.0,69,"Rose ethnic motifs embroidered dupatta chikankari,  fringed border100% Net Hand wash Length: 2.40 m Width: 92 cm",2025-09-23,2025-09-25,2025-10-01,4752.0,packed,9739285770
24,13637780.0,20,"Rust embellished A-line top, has a mandarin collar, three-quartered sleeves and button closureMaterial: Pure Cotton Machine WashRegular Fit The model (height 5'8"") is wearing a size S",2025-10-11,2025-10-13,2025-10-20,2262.0,shipped,9986035382
25,11552838.0,56,"Green solid woven cinched waist  top, has a V-neck, and long sleevesMaterial: Polyester Machine WashSemi-Fit The model (height 5'8"") is wearing a size S",2025-09-26,2025-09-28,2025-10-05,2721.0,out for delivery,2678034317
26,15748940.0,62,"White and pink embellished lehenga choli with dupatta, has shibori technique and mirror work White embellished unstitched blouse, has a round neck, long sleeves, white embellished made to measure lehenga, has drawstring closure, flared hem Pink printed dupatta, taping border100% Polyester Dry Clean onlyDupatta Length :- 2.4 meter Lehenga Length :- 41 inch Blouse Length :- Unstitched 1 meter",2025-09-30,2025-10-02,2025-10-05,1566.0,out for delivery,3402283858
27,11842374.0,9,"Off-white solid basic jumpsuit, has a V-neck, sleeveless, an inner lining, button closure This product does not come with a beltThe model (height 5'8'') is wearing a size SMaterial: Polyester Machine Wash",2025-09-28,2025-09-30,2025-10-04,719.0,packed,6428376736
28,14134854.0,8,"Dark no fade blue jeans Flared,  mid-rise Low distress Non stretchable 4 pocket Length: cropped Fit: Flared The model (height 5'8) is wearing a size SCotton Machine wash",2025-09-30,2025-10-01,2025-10-05,2854.0,shipped,2058512158
29,13000464.0,33,"Blue medium wash 4-pocket high-rise stretchable cropped jeans with front slit at hem and panelled detail, clean look, light fade, has a button and zip closure, and waistband with belt loopsRelaxed Fit The model (height 5'8"") is wearing a size 28Material: 100% Cotton Machine Wash",2025-10-16,2025-10-17,2025-10-19,4301.0,ordered,3210286542
30,13601350.0,31,"Maroon and off-white top Horizontal striped Round neck Long regular sleeves Knitted The model (height 5'8) is wearing a size S60% Cotton, 40% Viscose Machine wash",2025-09-28,2025-09-30,2025-10-02,3197.0,out for delivery,8012098818
31,18688450.0,45,"Rose-pink printed flared maxi skirt, has an elasticated waistband with slip-on closure, and a flared hem 100% Rayon Machine-wash The model (height 5'8"") is wearing size 28",2025-10-10,2025-10-11,2025-10-18,3185.0,delivered,6204325533
32,14535718.0,80,White and green knitted palazzos Solid Opaque Wide leg fit Elasticated waistband Length:  regular Knitted viscose rayon fabric Viscose rayon Hand washWide Leg fit The model (height 5'8) is wearing a size 28,2025-10-12,2025-10-13,2025-10-15,815.0,packed,6103072301
33,18980716.0,51,"Green and red solid lehenga choli with dupatta, Green and red solid unstitched blouse,  short sleeves,  green and red printed semi-stitched lehenga, has zip closure, flared hem Green and red printed dupatta,  tassels borderBlouse fabric: Raw silk Lehenga fabric: Silk blend Lehenga lining: Poly crepe Dupatta fabric: Silk Dry cleanLehenga Flare : 4 m Blouse Length : 0.8 m Duptta Length : 2.25 m",2025-10-13,2025-10-15,2025-10-22,1567.0,shipped,8370146036
34,19168716.0,54,"Black regular top Solid Round neck,  short,  regular sleeves Knitted The model (height 5'8) is wearing a size SCotton Machine Wash in cold water (30 degree C or low) to avoid shrinkage Line-dry in shade to avoid yellowing For whites, wash with non-chlorine bleach on a hot water setting Iron when slightly damp",2025-10-19,2025-10-20,2025-10-25,1899.0,packed,2091250109
35,19232080.0,7,"Maroon solid above-knee skirt, has an elasticated waistband, slip-on closure and flared hem Polyester Machine Wash The model (height 5'8'') is wearing a size 26",2025-10-04,2025-10-05,2025-10-10,4393.0,delivered,5637612018
36,19240164.0,65,"Colour: navy blue Floral embroidered Boat neck Three-quarter,  regular sleeves Straight shape with regular style Thread work detail Calf length with straight hem Knitted regular viscose rayon The model (height 5'8) is wearing a size SViscose Rayon Hand Wash",2025-09-30,2025-10-01,2025-10-06,2517.0,out for delivery,6941125000
37,17685188.0,79,"Blue typography printed lightweight denim jacket,  has a spread collar,  2  pockets ,has a snap button closure, three-quarter sleeves,  straight  hemline, cotton  liningCotton Denim Machine WashThe model (height 5'8) is wearing a size S",2025-10-19,2025-10-20,2025-10-25,2992.0,out for delivery,7813557781
38,18282302.0,4,"Black printed midi straight skirt has a slit on both sides, elasticated waistband with concealed zip closure. The model of height (of height 5'8"") is wearing a size 28 100% Cotton Hand Wash",2025-10-04,2025-10-06,2025-10-12,548.0,shipped,4531570952
39,17104804.0,73,"Mustard yellow printed Kurta with Trousers Kurta design: Striped printed Straight shape Regular style Round neck,  three-quarter flared sleeves Calf length with curved hem Pure cotton machine weave fabric Trousers design: Printed Trousers Partially elasticated waistband Slip-on closure Top fabric:  Pure Cotton Bottom fabric:  Pure Cotton Machine washThe model (height 5'8) is wearing a size S",2025-09-24,2025-09-25,2025-09-30,2020.0,shipped,4982521009
40,15088956.0,43,"Dusty pink solid cropped sweatshirt, has a high neck, long sleeves, straight hem52% cotton, 48% polyester Machine washThe model (height 5'8) is wearing a size S",2025-09-22,2025-09-23,2025-09-27,3125.0,delivered,2907076778
41,17771942.0,14,Design Details Green and yellow chanderi saree Ethnic motifs printed saree with printed border Disclaimer: The saree comes with an unstitched blouse piece The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.Silk Cotton Dry Clean Length: 5.5 metres plus 0.8 metre blouse piece Width: 1.06 metres (approx.),2025-10-02,2025-10-03,2025-10-10,1937.0,ordered,7875500240
42,14135266.0,22,"Special Technique/Craft: This product features a renowned craft of sanganeri block print, from the princely state of Jaipur in a contemporary avatar.Intricately detailed botanical hand block printsare juxtaposed against dreamy stripes and checks in pastel hues. Sober, low toned colors and delicate lines, creating finer designs like the poppy, rose & lotus, usually against a white background, are well know characteristics of this craft. Design: Region: Jaipur White and blue Floral printed dupatta Printed border Disclaimer: This is a handcrafted kurta, and is prone to colour bleeding due to use of natural dyes The print on the garment might be uneven owning to the handcrafted nature of the product, adding essence to the garment Taavi uses sustainable thread for the manufacturing of its garments. 100% Cotton Hand washLength: 2.5 m Width: 92 cm",2025-09-29,2025-10-02,2025-10-09,4184.0,ordered,5804470198
43,13135178.0,42,"Pink and gold-coloured polka dots printed Dupatta, has a fringed border Silk Blend Hand Wash dimension: 2.2 m x 0.83 m(Length x
Width)",2025-09-20,2025-09-23,2025-09-25,3108.0,out for delivery,3835019157
44,17240950.0,41,"Elevate your fashion game by opting for this smart and trendy co-ord set. Tailored with appealing short sleeves, this co-ord set also features an attractive round neck. Beautiful grey tone Solid top Solid palazzos Short sleeves Slip-on closure Round neck Pure cotton, hand wash Trend Alert Defined by edgy details, such as cutouts, pockets, tie-ups, back detailing, wrap, which add style and drama to your apparel, all in the details trend stands out beautifully. It experiments with prints and patterns, like ombre, garden artist, embellished, polka dots, floral, porcelain blooms, and so on. Size worn by the model: S Chest: 34'' Waist: 25"" Hips: 36'' Height: 5'8"" Pure Cotton Machine wash",2025-10-15,2025-10-16,2025-10-23,2587.0,packed,2033414971
45,13994184.0,67,"Design Details: Pink   embroidered saree and has an embroidered border The model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like Fabric: Net is a sheer and delicate fabric that is made with a process looping or knotting of the weave at intersections.Saree fabric: net Blouse fabric: net Dry-cleanLength: 5.5 metres plus 0.8 metre blouse piece Width: 1.06 metres (approx)",2025-10-16,2025-10-19,2025-10-25,4838.0,ordered,6899306961
46,19178122.0,55,"Brown Trousers Regular fit Mid-rise Length: regular Pattern: animal printed Flat-front, with no pleats design Feature: plain 2 pockets 100% Viscose Machine Wash Fit: Regular Fit The model (height 5'8) is wearing a size 28",2025-10-12,2025-10-14,2025-10-18,1177.0,shipped,4274914933
47,16836204.0,73,"Blue denim above knee length denim a-line skirt, has a button closure, frayed hemline, and smocked waistband98% Cotton 2% Elastane Machine-washThe model (height 5'8"") is wearing a size 28",2025-10-15,2025-10-17,2025-10-20,3048.0,ordered,6186802945
48,13880014.0,63,Rust brown and pink regular top Floral printed Round neck Long puff sleeves Embroidered detail Woven 100% PolyesterMachine washThe model (height 5'8) is wearing a size S,2025-09-20,2025-09-21,2025-09-27,3557.0,ordered,5716168305
49,18642886.0,34,"White and brown top and skirt co-ord set, has round neck, sleeveless, slip-on closure, and flared hemPolyester hand wash",2025-10-18,2025-10-21,2025-10-24,4291.0,ordered,2243286991
50,17787978.0,35,"Turquoise blue and grey printed unstitched dress material Turquoise blue and grey printed kurta fabric Turquoise blue and grey printed bottom fabric Turquoise blue and grey printed dupatta, has printed border Disclaimer: Images are for referral purposes only. The actual product is unstitchedCotton blend Dry Clean OnlyTop: 2.40 Mtr Bottom: 2.60 Mtr Dupatta: 2.30 Mtr Dupatta Width: 1.1 Mtr",2025-10-13,2025-10-14,2025-10-19,1514.0,ordered,6851264779
51,14850332.0,32,Design Details Pink and gold-toned banarasi saree Ethnic motifs woven design saree with woven design border The saree comes with an unstitched blouse piece The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.Saree fabric:  Silk Blend Blouse fabric:  Silk Blend Dry cleanLength: 5.5 metres plus 0.8 metre blouse piece Width: 1.06 metres (approx.),2025-10-02,2025-10-05,2025-10-08,2578.0,shipped,5781298829
52,15098904.0,7,"Aubergine and golden woven design lehenga choli with dupatta, with zari detail Aubergine and golden woven design unstitched blouse Aubergine and golden woven design semi-stitched lehenga, flared hem, with can-can lining Turquoise blue and golden woven design dupatta, tassels borderBlouse fabric: Silk Blend Lehenga fabric: Silk Blend Lehenga lining fabric: Shantoon Dupatta fabric: Raw Silk Lehenga flare- 3 m Blouse- 1 m Dupatta- 2.25 m",2025-09-22,2025-09-25,2025-09-30,4900.0,out for delivery,8682572802
53,11659720.0,43,"A pair of Black solid knitted flared fit Palazzos, opaque, 2 pockets, and drawstring closureMaterial: Viscose Rayon Hand WashThe model (height 5'8"") is wearing a size 28",2025-10-12,2025-10-14,2025-10-17,4413.0,delivered,7917655134
54,10811418.0,8,"Green and pink lehenga choli with dupatta, has zari Pink blouse, has a boat neck, short sleeves Green embellished semi-stitched lehenga, flared hem Green embellished dupatta, tasselled borderBlouse fabric: Polyester Lehenga fabric: Art Silk Lehenga lining fabric: Shantoon Dupatta fabric: Art SilkLehenga length: 1.0668 m; waist customizable up to 1.1176 m Blouse Size (Semi-Stitched )customizable up to 1.0668 m Dupatta Length: 2.5 m",2025-10-09,2025-10-12,2025-10-19,2243.0,packed,6640068971
55,13875432.0,22,"Beige lehenga choli with dupatta, has zari Beige unstitch blouse piece Beige semi-stitched lehenga, flared hem Sea Green embellished dupatta Blouse fabric: Net Lehenga fabric: Net Lehenga lining fabric: Satin Dupatta fabric: NetLehenga:-Net 1.06 m (42inch) Blouse: 1 m Dupatta:-2.40 m Lehenga gher:2.40 m",2025-10-03,2025-10-06,2025-10-09,3105.0,delivered,8419752469
56,15520698.0,13,"Colour: navy blue Floral yoke design Round neck Three-quarter,  regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton Cotton Dry clean The model (height 5'8) is wearing a size S",2025-09-30,2025-10-02,2025-10-09,3561.0,delivered,8154160318
57,15669628.0,28,"Brown, rust red and black top Ajrakh hand block print Round neck, three-quarter, regular sleeves Woven cotton Disclaimer This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes.Cotton Hand Wash Separately in cold water with mild/liquid detergents recommended. Do not bleach. Do not wring. Do not iron on embellishments. Iron on reverse. Dry in shadeThe model (height 5'8"") is wearing a size S",2025-10-16,2025-10-17,2025-10-19,1537.0,out for delivery,4467998125
58,15796648.0,22,"Pink and pink embroidered lehenga choli with dupatta,  mirror work Pink and pink embroidered unstitched blouse,  has a boat neck,  short sleeves,  pink and pink embroidered semi-stitched lehenga, has drawstring closure, flared hem Pink and pink embellished dupatta,  taping borderLehenga fabric: Georgette Blouse fabric: Georgette Dupatta fabric: Net Waist Belt: Georgette Lehenga lining fabric: Silk Dry-cleanCholi: Customizable upto 44 inches (1.12m) at the Bust Lehenga: Customizable upto 42 inches (1.06m) at the waist Lehenga length: 42 inches (1.06m) at the length Dupatta length: 2.25 m Dupatta width: 1m",2025-10-01,2025-10-02,2025-10-07,1003.0,ordered,7390868761
59,17738956.0,64,White and black printed basic jumpsuit Has a round neck Short sleeves 2 pockets Zip closure Polyester Wash Separately and Medium to High ironThe model (height 5'8) is wearing a size S,2025-09-22,2025-09-24,2025-09-28,1305.0,shipped,2842632171
60,18715960.0,8,"Pack of two printed tops White regular top Floral print Round neck, sleeveless, no sleeves Ruffles detail Knitted Red regular top Typography print Round neck, sleeveless, no sleeves Ruffles detail Knitted 100% Cotton Machine wash",2025-09-27,2025-09-30,2025-10-07,2707.0,packed,6552879425
61,13750110.0,35,"This clothing set consists of blouse, palazzos and shrug Pink and white printed blouse, has a round neck, sleeveless, and hook-and-eye closures at the back Pink embellished palazzos, has a slip-on closure, and an attached lining Pink solid longline shrug, has an open front, and long sleeves Comes with a tie-upThe model (height 5'8"") is wearing a size STop fabric: Poly Georgette Bottom fabric: Polyester Dupatta: Polyester Dry-clean",2025-09-22,2025-09-25,2025-09-30,1154.0,ordered,2919965801
62,15841450.0,15,"Beige and yellow regular shirt style top Floral print V-neck, long, regular sleeves Woven Button closure Polyester Machine-washThe model (height 5'8) is wearing a size S",2025-10-15,2025-10-17,2025-10-19,2143.0,shipped,2464515956
63,16396174.0,58,"Cropped jumper in a soft rib knit containing some wool with long, cuffed raglan sleeves. Slightly longer at the back. 41% Acrylic, 3% Elastane, 52% Polyester, 4% Wool Machine wash",2025-09-21,2025-09-22,2025-09-25,1930.0,shipped,9961688066
64,18774894.0,13,"Green and white embroidered unstitched dress material Green and white embroidered kurta fabric Green and white solid bottom fabric Green and white printed dupatta, has Disclaimer: Images are for referral purposes only. The actual product is unstitchedATop fabric length: Bottom fabric length: Dupatta length: 2 metres (approx)",2025-09-25,2025-09-26,2025-10-03,631.0,shipped,5015608461
65,15238208.0,13,Design Details Off white and red saree Geometric printed saree with printed border The saree comes with an unstitched blouse piece The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.Length: 5.5 metres plus 0.8 metre blouse piece Width: 1.06 metres (approx.)Saree fabric:  Silk Blend Blouse fabric:  Silk Blend Dry clean,2025-10-01,2025-10-04,2025-10-06,966.0,ordered,1550948134
66,12645324.0,70,"Brown and beige woven-design shawl, has frayed ends Dimensions: 2.03 m x 1.01 m (Length x Width) Wool Blend Dry Clean Only",2025-10-10,2025-10-11,2025-10-13,3105.0,packed,5582954871
67,18103220.0,1,"Blue and white printed lehenga choli with dupatta,  has leheriya technique and Blue and white printed ready to wear blouse,  has a round neck,  short sleeves,  blue and white printed ready to wear lehenga, has zip closure, flared hem Blue and white printed dupatta,  taping borderCotton Dry Clean Dupatta Length 1.80 m width 50cm",2025-09-21,2025-09-23,2025-09-25,3405.0,out for delivery,1361987992
